醫事機構代碼,醫事機構名稱,醫事機構地址,醫事機構電話,成人口罩總剩餘數,兒童口罩剩餘數,來源資料時間
2344050015,澎湖縣望安鄉衛生所,澎湖縣望安鄉西安村３６－７號,(06)9991036,2,84,2020/02/07 19:40:05
2344050024,澎湖縣望安鄉將軍衛生所,澎湖縣望安鄉將軍村１２鄰將軍澳１之３號,(06)9902066,110,80,2020/02/07 19:40:05
2344060011,澎湖縣七美鄉衛生所,澎湖縣七美鄉中和村埔內５４號,(06)9971005,0,38,2020/02/07 19:40:05
2345100014,花蓮縣富里鄉衛生所,花蓮縣富里鄉富里村中山路２０３號,(03)8831029,0,2,2020/02/07 19:40:05
2345120016,花蓮縣萬榮鄉衛生所,花蓮縣萬榮鄉萬榮村１２號,(03)8751651,2,54,2020/02/07 19:40:05
2346050013,台東縣大武鄉衛生所,台東縣大武鄉大武村濱海路１００號,(089)791325,4,20,2020/02/07 19:40:05
2346070015,臺東縣東河鄉衛生所,臺東縣東河鄉東河村南東河路１０鄰３００號,(089)896289,0,20,2020/02/07 19:40:05
2346110014,台東縣綠島鄉衛生所,台東縣綠島鄉中寮村１－１號,(089)672511,0,22,2020/02/07 19:40:05
2346120010,台東縣延平鄉衛生所,台東縣延平鄉桃源村昇平路１１號,(089)561040,22,34,2020/02/07 19:40:05
2346140012,台東縣達仁鄉衛生所,台東縣達仁鄉安朔村復興路１２２號,(089)702209,116,54,2020/02/07 19:40:05
2346150018,台東縣金峰鄉衛生所,台東縣金峰鄉賓茂村１鄰１４號,(089)772201,180,36,2020/02/07 19:40:05
2346160014,台東縣蘭嶼鄉衛生所,台東縣蘭嶼鄉紅頭村３６號,(089)732575,238,86,2020/02/07 19:40:05
2390050032,金門縣烈嶼鄉衛生所,金門縣烈嶼鄉西口村西方６－５號,(082)362078,0,2,2020/02/07 19:40:05
2391020010,連江縣北竿鄉衛生所,連江縣北竿鄉塘岐村２５號,(083)655592,200,56,2020/02/07 19:40:05
2391030016,連江縣莒光鄉西莒衛生所,連江縣莒光鄉青帆村１４－１號,(083)689122,252,88,2020/02/07 19:40:05
2391030026,連江縣莒光鄉東莒衛生所,連江縣莒光鄉大坪村３０－１號,(083)689038,273,92,2020/02/07 19:40:05
2391040012,連江縣東引鄉衛生所,連江縣東引鄉中柳村１２３號,(083)677206,98,80,2020/02/07 19:40:05
5901010058,安郁藥局,台北市松山區八德路３段１２巷５１弄１６號１樓,(02)25774551,0,2,2020/02/07 19:40:05
5901010094,明一藥局,台北市松山區南京東路５段５９巷２８弄２５號１樓,(02)27691654,6,2,2020/02/07 19:40:05
5901010496,瑞昌大藥局,台北市松山區民權東路３段１０３巷１０號,(02)27151881,0,2,2020/02/07 19:40:05
5901011662,上允藥局,台北市松山區民生東路５段７８號,(02)27696905,0,42,2020/02/07 19:40:05
5901011733,和諧藥局,台北市松山區民生東路５段１４８號２樓,(02)27568580,16,12,2020/02/07 19:40:05
5901011760,延壽藥局,台北市松山區延壽街３２７號,(02)27685159,0,12,2020/02/07 19:40:05
5901011975,萬泰藥局,台北市松山區敦化北路２２２巷３８號,(02)27135891,4,0,2020/02/07 19:40:05
5901012383,德川中西藥局,台北市松山區八德路４段９６號,(02)27683399,12,6,2020/02/07 19:40:05
5901012454,敦北藥局,台北市松山區民生東路４段８０巷５號,(02)27155691,4,0,2020/02/07 19:40:05
5901012490,中美藥局,台北市松山區富錦街５３１號,(02)27627468,0,3,2020/02/07 19:40:05
5901012507,康麗藥局,台北市松山區南京東路３段３０３巷２０號,(02)27174117,0,4,2020/02/07 19:40:05
5901012516,惠登藥局,台北市松山區民生東路３段１３０巷３４號,(02)25472432,6,0,2020/02/07 19:40:05
5901012570,予志藥局,台北市松山區富錦街５２１號,(02)27623522,198,50,2020/02/07 19:40:05
5901012598,婕登藥局,台北市松山區八德路４段６９９號,(02)27482893,4,0,2020/02/07 19:40:05
5901012632,晨安藥局,台北市松山區八德路３段１５５巷２０弄２號,(02)25798460,0,2,2020/02/07 19:40:05
5901012669,政昇藥局,台北市松山區南京東路５段３５６號１３樓,(02)27560286,2,60,2020/02/07 19:40:05
5901012767,晨新藥局,台北市松山區八德路４段９１巷１－１號,(02)27422951,0,6,2020/02/07 19:40:05
5901012918,躍獅京華藥局,台北市松山區南京東路５段７１號,(02)27666508,2,0,2020/02/07 19:40:05
5901012963,綠之家藥局,台北市松山區延壽街４２８號,(02)25289595,4,4,2020/02/07 19:40:05
5901013095,康采藥局,台北市松山區南京東路５段２９１巷１７－２號,(02)27670271,6,0,2020/02/07 19:40:05
5901013120,誠康中西藥局,台北市松山區南京東路５段５９巷３１弄４３號,(02)27619679,1,11,2020/02/07 19:40:05
5901013148,唯康藥局,台北市松山區八德路３段２１１號,(02)25775000,0,4,2020/02/07 19:40:05
5901013246,芝欣藥局,台北市松山區八德路３段１４８號,(02)25706677,2,0,2020/02/07 19:40:05
5901013264,佑翔藥局,台北市松山區民生東路５段９５號,(02)87875050,2,6,2020/02/07 19:40:05
5901013308,立赫敦北藥局,台北市松山區敦化北路２２２巷２０號,(02)27199277,6,0,2020/02/07 19:40:05
5901013344,健康活力藥師藥局,台北市松山區民生東路５段２１９號,(02)27455556,0,2,2020/02/07 19:40:05
5901013442,松山八德藥局,臺北市松山區八德路２段４００號,(02)27782773,142,60,2020/02/07 19:40:05
5901013451,新德大藥局,臺北市松山區饒河街２０４號,(02)27673402,0,4,2020/02/07 19:40:05
5901013460,光點延新藥局,台北市松山區延壽街１０１號,(02)27667795,0,8,2020/02/07 19:40:05
5901013488,欣生藥局,臺北市松山區民生東路５段１３８巷１號,(02)27567611,6,20,2020/02/07 19:40:05
5901013497,民生盛康藥局,臺北市松山區民生東路５段２０４號,(02)27460758,6,4,2020/02/07 19:40:05
5901013513,立赫民生藥局,臺北市松山區民生東路４段６８號,(02)27139200,6,18,2020/02/07 19:40:05
5901013522,大樹松山藥局,臺北市松山區民生東路５段１０７號,(02)27562226,152,54,2020/02/07 19:40:05
5901020296,百立藥局,台北市大安區和平東路３段２２８巷６６號１樓,(02)27327211,0,16,2020/02/07 19:40:05
5901020376,靜園藥局,台北市大安區和平東路２段１１８巷５７之１號,(02)27336390,4,0,2020/02/07 19:40:05
5901020554,師大藥局,台北市大安區師大路９９號１樓,(02)23623479,4,2,2020/02/07 19:40:05
5901020590,燕福藥局,台北市大安區羅斯福路３段２８３巷１４弄１４號之３,(02)23627307,0,4,2020/02/07 19:40:05
5901020616,龍護大藥局,台北市大安區大安路１段２２４巷７號１Ｆ,(02)23250686,0,2,2020/02/07 19:40:05
5901020670,杏安堂藥局,台北市大安區忠孝東路４段７７巷３０號１樓,(02)27517636,0,11,2020/02/07 19:40:05
5901020689,四維藥局,台北市大安區復興南路２段１５１巷４３號１樓,(02)27094222,64,14,2020/02/07 19:40:05
5901020876,大興藥局,台北市大安區通化街３９巷５０弄１５號１樓,(02)27053369,2,0,2020/02/07 19:40:05
5901020901,辰安藥局,台北市大安區大安路１段３１巷２８號,(02)27119536,0,18,2020/02/07 19:40:05
5901021248,永誠藥局,台北市大安區忠孝東路４段２１６巷２５之１號,(02)27520273,262,118,2020/02/07 19:40:05
5901021382,建如藥局,台北市大安區和平東路３段２２８巷１１號１Ｆ,(02)27331456,4,0,2020/02/07 19:40:05
5901021408,生百藥局,台北市大安區臨江街１２４號,(02)27371011,2,40,2020/02/07 19:40:05
5901022521,台安藥局,台北市大安區和平東路２段３５３號１樓,(02)27549099,2,0,2020/02/07 19:40:05
5901022601,生光藥局,台北市大安區忠孝東路３段２４８巷２號,(02)27780862,7,0,2020/02/07 19:40:05
5901022898,永康藥局,台北市大安區麗水街６之２號,(02)23279362,0,18,2020/02/07 19:40:05
5901023073,世中欣藥局,台北市大安區永康街２巷８號,(02)23938947,2,0,2020/02/07 19:40:05
5901023091,加豐藥局,台北市大安區忠孝東路３段２１６巷３弄１號１樓,(02)27219678,140,66,2020/02/07 19:40:05
5901023153,崇光藥局,台北市大安區忠孝東路３段３０５號７樓之３,(02)27217958,0,42,2020/02/07 19:40:05
5901023215,大愛健康藥局,台北市大安區敦化南路２段６３巷６５號,(02)27092156,4,0,2020/02/07 19:40:05
5901023304,麗樺藥師藥局,台北市大安區麗水街３號,(02)23952628,6,2,2020/02/07 19:40:05
5901023313,安和藥局,台北市大安區安和路１段１０２巷３號,(02)27092349,0,10,2020/02/07 19:40:05
5901023331,佑安藥局,台北市大安區延吉街２３３巷９號,(02)27069339,0,30,2020/02/07 19:40:05
5901023386,弘昇藥局,台北市大安區復興南路１段１０７巷３２號,(02)27110061,4,2,2020/02/07 19:40:05
5901023591,一心藥局,台北市大安區和平東路３段２３８號,(02)27321818,12,6,2020/02/07 19:40:05
5901023653,信安健康藥局,台北市大安區仁愛路４段１２２巷５８號,(02)27084858,2,6,2020/02/07 19:40:05
5901023680,新富川藥局,台北市大安區大安路１段５１巷４號,(02)27114758,0,12,2020/02/07 19:40:05
5901023706,聖英藥局,台北市大安區仁愛路４段２６６巷１５弄１８號,(02)27055851,0,6,2020/02/07 19:40:05
5901023886,世康藥局,台北市大安區延吉街２４６號,(02)27015758,8,16,2020/02/07 19:40:05
5901024007,古亭健康人生藥局,台北市大安區羅斯福路２段８３號,(02)23660895,2,0,2020/02/07 19:40:05
5901024098,杏一瑞安藥局,台北市大安區瑞安街２０８巷１１弄１號,(02)27096710,0,16,2020/02/07 19:40:05
5901024114,好安心藥局,台北市大安區和平東路２段９８之２號,(02)23772166,4,0,2020/02/07 19:40:05
5901024178,天康忠孝藥局,台北市大安區忠孝東路３段２２３－１號,(02)77137763,8,0,2020/02/07 19:40:05
5901024212,中力信義藥局,台北市大安區信義路４段５１號,(02)23250266,0,20,2020/02/07 19:40:05
5901024221,安居藥局,台北市大安區安居街１９號,(02)23773537,0,18,2020/02/07 19:40:05
5901024347,博大藥局,台北市大安區安和路２段６５號,(02)27027858,0,4,2020/02/07 19:40:05
5901024481,微笑藥師藥局,台北市大安區信義路３段３１巷４號,(02)27009655,0,2,2020/02/07 19:40:05
5901024632,艾登安和藥局,台北市大安區安和路１段１２３號,(02)27015201,8,20,2020/02/07 19:40:05
5901024669,百岳藥局,台北市大安區和平東路２段３１１巷１１號,(02)27551037,0,22,2020/02/07 19:40:05
5901024767,杏一樂業藥局,台北市大安區樂業街１６２號,(02)27383194,0,12,2020/02/07 19:40:05
5901024856,杏一台北國泰藥局,台北市大安區仁愛路４段２６６巷１５弄４號,(02)27011785,0,2,2020/02/07 19:40:05
5901024865,沛林東區生活藥粧藥局,台北市大安區敦化南路１段１８７巷１７號,(02)27763759,0,10,2020/02/07 19:40:05
5901024874,奇異果大安藥局,台北市大安區大安路１段１９０號,(02)23250891,0,2,2020/02/07 19:40:05
5901024883,躍獅敦和藥局,台北市大安區和平東路３段１０號,(02)23785767,12,10,2020/02/07 19:40:05
5901024892,太醫藥局,台北市大安區師大路１２號,(02)23685125,2,0,2020/02/07 19:40:05
5901024918,康祥藥局,台北市大安區忠孝東路４段２１６巷２１號,(02)27817891,0,8,2020/02/07 19:40:05
5901024927,高特敦南藥局,台北市大安區信義路４段１１５號,(092)0318305,200,50,2020/02/07 19:40:05
5901090074,慈仁藥局,台北市大同區歸綏街２６１號１樓,(02)25572733,0,6,2020/02/07 19:40:05
5901090154,柯藥局,台北市大同區重慶北路３段３３５巷６號,(02)25948515,0,2,2020/02/07 19:40:05
5901090181,時春藥局,台北市大同區赤峰街４號,(02)25597918,0,4,2020/02/07 19:40:05
5901090216,裕仁藥局,台北市大同區迪化街２段２７０號－１,(02)25910064,0,22,2020/02/07 19:40:05
5901090243,建祥藥局,台北市大同區寧夏路１７號、１７－１號,(02)25556476,0,2,2020/02/07 19:40:05
5901090323,泰元藥局,台北市大同區哈密街９１號,(02)25914592,0,2,2020/02/07 19:40:05
5901091473,快安藥局,台北市大同區南京西路２８２、２８４號,(02)25561925,10,0,2020/02/07 19:40:05
5901091857,佳禾藥局,台北市大同區大龍街２６２號,(02)25953806,0,2,2020/02/07 19:40:05
5901091884,躍獅雙蓮藥局,台北市大同區涼州街４號,(02)25537551,0,2,2020/02/07 19:40:05
5901091973,延平新聖安藥局,台北市大同區延平北路３段３５號,(02)25923399,0,4,2020/02/07 19:40:05
5901091991,德芳藥局,台北市大同區民生西路９１號,(02)25576869,12,0,2020/02/07 19:40:05
5901092041,酒泉春天藥局,台北市大同區酒泉街９４號、９４號２樓,(02)25977932,6,2,2020/02/07 19:40:05
5901092069,躍獅遠東藥局,台北市大同區南京西路３７４號（實際營業地址：１樓）,(02)25594835,8,4,2020/02/07 19:40:05
5901100333,明美藥局,台北市中山區長春路６９號,(02)25365419,4,16,2020/02/07 19:40:05
5901100422,滿順藥局,台北市中山區伊通街５４號１樓,(02)25075283,4,0,2020/02/07 19:40:05
5901100431,長生藥局,台北市中山區松江路３６２巷５５號１樓,(02)25816210,0,8,2020/02/07 19:40:05
5901100440,優豐藥局,台北市中山區民生東路１段３２號,(02)25602565,6,10,2020/02/07 19:40:05
5901100495,能康藥局,台北市中山區長春路４６號,(02)25429426,4,2,2020/02/07 19:40:05
5901100664,阿里藥局,台北市中山區錦州街２５１號,(02)25020638,0,44,2020/02/07 19:40:05
5901100735,華友藥局,台北市中山區龍江路３５６巷２７號－１,(02)25007159,10,2,2020/02/07 19:40:05
5901100959,武璋大藥局,台北市中山區伊通街９７號之２,(02)25072026,2,0,2020/02/07 19:40:05
5901101072,長青藥局,台北市中山區興安街５５號１樓,(02)25053160,0,10,2020/02/07 19:40:05
5901101205,大直藥局,台北市中山區北安路６１７號１樓,(02)25320522,12,2,2020/02/07 19:40:05
5901101536,展佑藥局,台北市中山區長春路１４６－１號,(02)25232803,4,0,2020/02/07 19:40:05
5901101625,中崙藥局,台北市中山區八德路２段３０７號,(02)27114971,2,0,2020/02/07 19:40:05
5901102015,久大藥局,台北市中山區林森北路４８０號,(02)25111594,4,4,2020/02/07 19:40:05
5901102060,專心藥局,台北市中山區伊通街１１２－２號,(02)25155847,8,0,2020/02/07 19:40:05
5901102417,民生興安藥局,台北市中山區民生東路３段９０－１號,(02)25018310,2,4,2020/02/07 19:40:05
5901102515,華康藥局,台北市中山區民生西路３巷２之１號,(02)25211772,2,0,2020/02/07 19:40:05
5901102579,晴光藥局,台北市中山區農安街２３之２號,(02)25951393,12,2,2020/02/07 19:40:05
5901102597,德惠藥局,台北市中山區德惠街１２２號,(02)25971131,0,2,2020/02/07 19:40:05
5901102677,興康源藥局,台北市中山區中山北路１段１４０巷８號,(02)25311248,0,8,2020/02/07 19:40:05
5901102748,淮濟藥師藥局,台北市中山區北安路５７０號〈實際營業地址：１樓及地下１樓〉,(02)85098636,0,2,2020/02/07 19:40:05
5901102828,逸帆藥局,台北市中山區錦州街１８９號,(02)25222323,10,0,2020/02/07 19:40:05
5901103147,娸淇藥局,台北市中山區伊通街９５號,(02)25082762,4,40,2020/02/07 19:40:05
5901103183,OK藥師藥局,台北市中山區興安街９５號,(02)25170068,0,2,2020/02/07 19:40:05
5901103343,王中興藥局,台北市中山區龍江路２７３號,(02)25034281,18,4,2020/02/07 19:40:05
5901103423,農安藥局,台北市中山區農安街１８之１號,(02)25959293,78,0,2020/02/07 19:40:05
5901103450,東東藥局,台北市中山區長春路２５７之２號,(02)25031730,2,0,2020/02/07 19:40:05
5901103469,聖晨藥局,台北市中山區農安街１４０號,(02)25960359,0,2,2020/02/07 19:40:05
5901103496,杏一龍錦藥局,台北市中山區龍江路２６４號,(02)25174618,0,8,2020/02/07 19:40:05
5901103512,大樹龍江藥局,台北市中山區龍江路２４２號,(02)25035666,144,52,2020/02/07 19:40:05
5901103521,中華藥局,台北市中山區農安街４５之１號,(02)25997888,0,2,2020/02/07 19:40:05
5901103576,康銓藥局,台北市中山區農安街１７４號,(02)25039393,2,0,2020/02/07 19:40:05
5901103585,禾全藥局,台北市中山區龍江路３３２號,(02)25165721,50,30,2020/02/07 19:40:05
5901110080,葛蘭素藥局,台北市內湖區內湖路２段１０３巷１２８號１樓,(02)27997824,8,4,2020/02/07 19:40:05
5901110624,宏光藥局,台北市內湖區成功路２段２２１號１樓,(02)27919068,0,6,2020/02/07 19:40:05
5901111890,安康藥局,台北市內湖區安康路４８２號,(02)26327675,4,0,2020/02/07 19:40:05
5901111934,至康藥局,台北市內湖區內湖路１段７３７巷１９弄１號,(02)26580022,0,4,2020/02/07 19:40:05
5901112351,康信藥局,台北市內湖區民權東路６段２９６巷２９號,(02)26342088,2,0,2020/02/07 19:40:05
5901112600,匯安藥局,台北市內湖區內湖路１段７０３之１號,(02)26579255,6,0,2020/02/07 19:40:05
5901112682,富康東湖藥局,台北市內湖區東湖路１１９巷４９弄１６號,(02)26323222,2,2,2020/02/07 19:40:05
5901112726,高昱藥局,台北市內湖區陽光街３２１巷２６號２樓之１５,(02)87519962,11,2,2020/02/07 19:40:05
5901112762,樂活藥師藥局,台北市內湖區內湖路２段３６８號,(02)27968052,1,0,2020/02/07 19:40:05
5901112780,樂康藥妝藥局,台北市內湖區文德路１１７號,(02)26562110,0,6,2020/02/07 19:40:05
5901112824,思恩藥局,台北市內湖區成功路４段６１巷２６號,(02)27965808,8,0,2020/02/07 19:40:05
5901112842,早安元氣藥局,台北市內湖區成功路４段５３號１樓,(02)27925994,1,2,2020/02/07 19:40:05
5901112995,昇龍藥局,台北市內湖區東湖路１５１號,(02)26316783,0,6,2020/02/07 19:40:05
5901113027,晟安藥局,台北市內湖區金龍路１３５號,(02)87919320,0,16,2020/02/07 19:40:05
5901113045,西湖藥局,台北市內湖區內湖路１段３５５號,(02)26279291,0,4,2020/02/07 19:40:05
5901113232,躍獅東湖藥局,台北市內湖區金湖路３７８號,(02)26347983,0,2,2020/02/07 19:40:05
5901113296,喜越藥局,台北市內湖區內湖路１段２８５巷５９弄７號,(02)26271955,0,2,2020/02/07 19:40:05
5901113330,躍獅大湖藥局,台北市內湖區成功路４段３２９號,(02)27945376,0,2,2020/02/07 19:40:05
5901113376,內湖藥局,台北市內湖區康寧路１段１１６號,(02)27940545,160,68,2020/02/07 19:40:05
5901113385,躍獅康成藥局,台北市內湖區成功路４段６１巷１１號,(02)87922031,4,18,2020/02/07 19:40:05
5901113438,晶龍藥局,台北市內湖區成功路４段２１８號,(02)27956255,0,2,2020/02/07 19:40:05
5901113456,佑全內湖康寧藥局,台北市內湖區康寧路３段３９號、３９號２樓、４１號、４３號,(02)26346578,0,2,2020/02/07 19:40:05
5901113536,原大藥局,台北市內湖區內湖路１段７３７巷５０弄５號,(02)26596358,194,54,2020/02/07 19:40:05
5901113554,葫光藥局,台北市內湖區康寧路３段５４巷６號,(02)26336611,102,22,2020/02/07 19:40:05
5901120022,旭村藥局,台北市南港區興華路１１２號,(02)27820948,34,6,2020/02/07 19:40:05
5901120139,裕成藥局,台北市南港區玉成街１６６巷１３號,(02)27851227,0,2,2020/02/07 19:40:05
5901120175,新錦安藥局,台北市南港區南港路３段３４號,(02)27825218,2,0,2020/02/07 19:40:05
5901120184,仁泰藥局,台北市南港區同德路２８號,(02)27855464,188,52,2020/02/07 19:40:05
5901121421,祥安藥局,台北市南港區中坡南路２５號,(02)26547322,8,20,2020/02/07 19:40:05
5901121449,麗康藥局,台北市南港區同德路５１號,(02)26515236,3,3,2020/02/07 19:40:05
5901121574,上丞藥師藥局,台北市南港區成福路１０號１樓,(02)26535589,0,30,2020/02/07 19:40:05
5901121592,忠孝藥局,台北市南港區成福路１６號,(02)27862829,0,10,2020/02/07 19:40:05
5901121618,新東發藥局,台北市南港區成福路１９８號,(02)27855190,40,4,2020/02/07 19:40:05
5901121672,亞博藥師藥局,台北市南港區興華路８１號,(02)27838090,80,22,2020/02/07 19:40:05
5901121734,湳港藥局,台北市南港區研究院路１段１０１巷１２號,(02)27892200,95,26,2020/02/07 19:40:05
5901121823,儀安健保藥局,台北市南港區同德路７４號,(02)27859893,0,2,2020/02/07 19:40:05
5901121850,健涵藥局,台北市南港區舊莊街１段１４７號,(02)27837285,10,0,2020/02/07 19:40:05
5901121869,南港藥局,台北市南港區南港路一段１６６號,(02)27829137,0,4,2020/02/07 19:40:05
5901121896,順翔藥局,台北市南港區研究院路２段１７０號,(02)27824332,1,0,2020/02/07 19:40:05
5901121912,成恩藥局,台北市南港區成福路２３號,(02)27856602,2,16,2020/02/07 19:40:05
5901121930,小藥師健保藥局,台北市南港區福德街３２０之１號,(02)27867002,0,2,2020/02/07 19:40:05
5901121985,勝安藥局,台北市南港區舊莊街１段１６５號,(02)27828450,196,76,2020/02/07 19:40:05
5901122026,杏一中坡藥局,台北市南港區中坡南路３３號、３５號,(02)27827418,0,42,2020/02/07 19:40:05
5901122035,成福大藥局,臺北市南港區成福路８號,(02)27859221,4,2,2020/02/07 19:40:05
5901150128,新興藥局,台北市士林區德行西路１１７號,(02)28362643,10,0,2020/02/07 19:40:05
5901150146,坤成泰藥局,台北市士林區大南路４１２號,(02)28813903,0,1,2020/02/07 19:40:05
5901150235,杏城藥局,台北市士林區天母東路２４號,(02)28725144,0,20,2020/02/07 19:40:05
5901150271,建芳藥局,台北市士林區德行東路１４８號,(02)28357172,2,0,2020/02/07 19:40:05
5901150342,士林三安藥局,台北市士林區大南路１１號,(02)28812631,0,26,2020/02/07 19:40:05
5901150459,有德堂大藥局,台北市士林區中山北路６段２２７號,(02)28318387,176,50,2020/02/07 19:40:05
5901150468,太安藥局,台北市士林區延平北路５段１５７號,(02)28111468,0,2,2020/02/07 19:40:05
5901150548,田倉藥局,台北市士林區士東路１２４號,(02)88662188,0,2,2020/02/07 19:40:05
5901150593,安寧藥局,台北市士林區劍潭路９１號,(02)28803319,0,6,2020/02/07 19:40:05
5901150682,加赫藥局,台北市士林區文昌路７６號,(02)28336362,0,2,2020/02/07 19:40:05
5901150815,陽明藥局,台北市士林區菁山路１０號１樓,(02)28612863,162,60,2020/02/07 19:40:05
5901151956,康鈺藥局,台北市士林區德行東路１３３號１樓,(02)28313915,6,0,2020/02/07 19:40:05
5901152024,今欣藥局,台北市士林區天母西路４１巷９號１樓,(02)28713129,38,4,2020/02/07 19:40:05
5901152471,得安藥局,台北市士林區文林路１４０號,(02)28836336,0,16,2020/02/07 19:40:05
5901152604,達揚藥局,台北市士林區社正路３６號１樓,(02)88115559,0,11,2020/02/07 19:40:05
